id;login;cabinet;dmaj;recordstatus;ddebut;dfin
846;alegoff;lapalisse;2016-11-08 16:48:36;0;2016-11-08;
289;alesolliec;renneschurchill;2015-04-30 18:52:34;0;2015-02-25;
288;alesolliec;rennesanjou;2015-04-30 18:52:34;0;2015-01-20;
3122;alesolliec;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
287;alesolliec;rennes2;2015-04-30 18:52:34;0;2015-01-06;
306;alibaud;aizenay;2015-04-30 18:52:34;0;2015-01-09;
3055;alibaud;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3667;allexafayret;sebazac;2018-10-16 18:07:53;0;2018-10-16;
2599;aloudot;boubon;2018-04-04 08:38:41;0;2018-04-04;
3535;aloudot;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2467;alsalomon;pontdebeauvoisin;2017-12-12 16:39:04;0;2017-12-12;
3474;alsalomon;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2468;alsalomon;aoste;2017-12-12 16:45:21;0;2017-12-12;
476;amahe;lahaye;2015-05-31 18:20:33;0;2015-06-08;
3129;amahe;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
956;amarical;etain;2017-03-09 08:22:54;0;2017-03-09;
3352;amarical;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
974;amarical;bellevillesurmeuse;2017-03-30 14:09:17;0;2017-03-30;
955;amarical;bellevillesurmeuserepublique;2017-03-09 08:21:50;0;2017-03-09;
3643;amarionnet;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2849;amarionnet;dijondumont;2018-09-21 17:40:19;0;2018-09-21;
2848;amarionnet;dijon2;2018-09-21 17:36:02;0;2018-09-21;
2817;amarionnet;malain;2018-09-03 14:36:14;0;2018-09-03;
896;amartinez;saintfrancois;2016-12-28 19:43:46;0;2016-12-28;
3321;amartinez;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
47;amazzeddine;renneschurchill;2017-03-13 16:11:39;1;2015-02-25;2017-03-13
45;amazzeddine;rennes2;2017-03-13 16:10:04;1;2015-01-06;2017-03-13
3058;amazzeddine;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
46;amazzeddine;rennesanjou;2017-03-13 16:11:00;1;2015-01-20;2017-03-13
3010;amondon;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
340;amondon;barleduc;2015-04-30 18:52:34;0;2014-09-01;
3138;amonin;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
495;amonin;samatan;2015-07-20 11:55:31;0;2015-09-09;
498;amonin;poumaderes;2015-08-05 11:28:56;0;2015-08-13;
496;amonin;mauvezin;2015-07-21 13:25:42;0;2015-09-08;
3170;angom;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
557;angom;montataire;2015-10-22 09:18:18;0;2015-10-23;
2676;aperson;broons;2018-06-13 18:16:25;0;2018-06-13;
2677;aperson;caulnes;2018-06-13 18:19:21;0;2018-06-13;
3590;aperson;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2676;aperson;broons;2018-06-13 18:16:25;0;2018-06-13;
2678;aperson;plumaudan;2018-06-13 18:21:54;0;2018-06-13;
2797;aphilippon;tresses;2018-08-29 18:40:00;0;2018-08-29;
3631;aphilippon;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2506;aponcet;Oyonnaxmichelet;2018-01-18 13:14:08;0;2018-01-18;
2507;aponcet;oyonnaxverdun;2018-01-18 13:16:00;0;2018-01-18;
3498;aponcet;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3067;apourcharesse;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
376;apourcharesse;villeneuvesurlot;2017-03-06 18:31:54;1;2015-04-21;2017-03-06
903;apourcharesse;pujols;2017-01-06 17:40:21;0;2017-01-06;
791;apuech;cahuzac;2018-05-11 18:02:55;1;2016-09-20;2018-05-11
632;apuech;cordes;2016-02-19 15:18:33;0;2016-02-19;
3203;apuech;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
550;apuissauve;cunlhat2;2015-10-15 15:09:41;0;2015-10-06;
3167;apuissauve;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
552;apuissauve;saintdie;2015-10-15 15:19:57;0;2015-10-06;
551;apuissauve;courpiere;2015-10-15 15:15:41;0;2015-10-06;
3318;aravoire;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
941;aravoire;bourgstandeol4;2018-01-25 10:03:36;1;2017-02-22;2018-01-25
936;aravoire;bourgstandeol30;2018-01-25 10:08:20;1;2017-02-22;2018-01-25
860;aravoire;saintmontanchalamel;2018-07-26 20:03:23;1;2016-11-09;2018-07-26
864;aravoire;saintmontanbauvache;2018-04-10 15:31:17;1;2016-11-09;2018-04-10
2533;arichard;champlitte;2018-02-05 16:47:41;0;2018-02-05;
3494;arichard;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
626;arignon;tonneinsfoch;2016-02-16 11:15:52;0;2014-08-27;
395;arignon;tonneins;2015-04-30 18:52:34;0;2014-08-12;
3021;arignon;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
396;arignon;tonneinsstalingrad;2015-04-30 18:52:34;0;2014-08-27;
3480;ariviere;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2500;ariviere;lans;2018-01-17 17:25:20;0;2018-01-17;
3366;arizk;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
980;arizk;zTest;2017-04-05 18:49:53;0;2017-04-05;
2818;arizkologue;zTest;2018-09-03 23:31:24;0;2018-09-03;
2818;arizkologue;zTest;2018-09-03 23:31:24;0;2018-09-03;
3645;arizkologue;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2818;arizkologue;zTest;2018-09-03 23:31:24;0;2018-09-03;
3661;arizkologue;testantoinerizk;2018-10-16 11:03:39;0;2018-10-16;
2699;arouyremichelon;clellesentrieves;2018-06-19 16:29:44;0;2018-06-19;
2845;arouyremichelon;echirolles;2018-09-21 16:51:38;0;2018-09-21;
957;arouyremichelon;monestierdeclermont;2017-03-30 19:41:18;0;2017-03-10;
3353;arouyremichelon;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3355;asfaget;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
961;asfaget;salinslesbains8;2017-03-10 14:29:24;0;2017-03-10;
960;asfaget;salinslesbains;2017-03-10 14:29:12;0;2017-03-10;
962;asfaget;salinslesbains7;2017-03-10 14:31:23;0;2017-03-10;
2517;asfaget;salinslesbains9;2018-01-23 10:36:06;0;2018-01-23;
383;asravier;lesmarches;2015-04-30 18:52:34;0;2014-10-16;
2965;asravier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
959;asroussel;salinslesbains;2017-03-10 14:29:05;1;2017-03-10;2017-03-10
3239;asroussel;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2431;asroussel;morteauchaussee;2018-09-06 11:08:17;1;2017-11-07;2018-09-06
712;asroussel;nods;2016-05-30 15:57:31;0;2016-05-30;
714;asroussel;morteau;2016-05-30 16:04:46;0;2016-05-30;
716;asroussel;orchamps;2016-05-30 16:07:34;0;2016-05-30;
3142;atheret;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
508;atheret;saintjust;2015-08-28 17:44:21;0;2015-08-26;
633;athorel;leport;2016-02-25 09:26:34;0;2016-02-25;
3204;athorel;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2531;Aurélia Cascarino;zTest;2018-02-02 16:04:08;0;2018-02-02;
